,날짜,종가,전일비,시가,고가,저가,거래량
1,2022.10.28,59000.0,500.0,58900.0,59200.0,58800.0,1471106.0
2,2022.10.27,59500.0,100.0,59700.0,60100.0,58900.0,21756712.0
3,2022.10.26,59400.0,1700.0,58000.0,59600.0,57700.0,20824967.0
4,2022.10.25,57700.0,200.0,57000.0,58600.0,57000.0,17405678.0
5,2022.10.24,57500.0,1600.0,57000.0,57500.0,56700.0,16944503.0
9,2022.10.21,55900.0,400.0,55100.0,56300.0,55100.0,11456060.0
10,2022.10.20,55500.0,300.0,55200.0,56000.0,55100.0,17107653.0
11,2022.10.19,55800.0,700.0,56700.0,56900.0,55700.0,12660652.0
12,2022.10.18,56500.0,100.0,56700.0,57100.0,55800.0,14820702.0
13,2022.10.17,56600.0,300.0,55800.0,57000.0,55700.0,13641878.0
1,2022.10.14,56300.0,1100.0,56200.0,56500.0,55800.0,12924326.0
2,2022.10.13,55200.0,600.0,55400.0,56100.0,55200.0,13784602.0
3,2022.10.12,55800.0,400.0,55700.0,57000.0,55200.0,18408910.0
4,2022.10.11,55400.0,800.0,54400.0,55700.0,54000.0,21437877.0
5,2022.10.07,56200.0,100.0,55900.0,56900.0,55200.0,16886813.0
9,2022.10.06,56300.0,300.0,56700.0,57300.0,56300.0,14944446.0
10,2022.10.05,56000.0,800.0,56900.0,57200.0,55400.0,22458970.0
11,2022.10.04,55200.0,2100.0,55300.0,55400.0,54500.0,19148435.0
12,2022.09.30,53100.0,500.0,52300.0,53600.0,51800.0,22503249.0
13,2022.09.29,52600.0,300.0,53300.0,53700.0,52600.0,13882080.0
1,2022.09.28,52900.0,1300.0,53900.0,54400.0,52500.0,19991129.0
2,2022.09.27,54200.0,300.0,53800.0,54200.0,53500.0,16631289.0
3,2022.09.26,53900.0,600.0,53700.0,54200.0,53600.0,15008449.0
4,2022.09.23,54500.0,100.0,54400.0,54900.0,54200.0,10555964.0
5,2022.09.22,54400.0,900.0,54600.0,54700.0,54300.0,12786510.0
9,2022.09.21,55300.0,500.0,55400.0,55500.0,55000.0,11863700.0
10,2022.09.20,55800.0,600.0,56400.0,57000.0,55800.0,14041465.0
11,2022.09.19,56400.0,200.0,56300.0,57000.0,56000.0,12278653.0
12,2022.09.16,56200.0,200.0,55600.0,56400.0,55500.0,13456503.0
13,2022.09.15,56000.0,800.0,57000.0,57100.0,56000.0,11664819.0
1,2022.09.14,56800.0,1300.0,56200.0,57200.0,56100.0,12524961.0
2,2022.09.13,58100.0,2500.0,57000.0,58500.0,56800.0,17166581.0
3,2022.09.08,55600.0,400.0,56200.0,56400.0,55600.0,18000016.0
4,2022.09.07,56000.0,1100.0,56700.0,56700.0,55900.0,17384854.0
5,2022.09.06,57100.0,0.0,57200.0,57600.0,56900.0,7503086.0
9,2022.09.05,57100.0,400.0,57400.0,57800.0,56800.0,11425977.0
10,2022.09.02,57500.0,900.0,58300.0,58600.0,57500.0,15040310.0
11,2022.09.01,58400.0,1300.0,58700.0,58900.0,58300.0,14905777.0
12,2022.08.31,59700.0,900.0,58200.0,59900.0,58200.0,14203512.0
13,2022.08.30,58800.0,200.0,58700.0,59000.0,58300.0,9690044.0
1,2022.08.29,58600.0,1400.0,58700.0,58900.0,58600.0,9841329.0
2,2022.08.26,60000.0,300.0,60300.0,60900.0,59900.0,9499995.0
3,2022.08.25,59700.0,700.0,59200.0,59700.0,59000.0,5767902.0
4,2022.08.24,59000.0,100.0,59200.0,59500.0,59000.0,8888486.0
5,2022.08.23,59100.0,900.0,59000.0,59600.0,59000.0,9041629.0
